"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","rt","stimulus","response","question_order"
"true","false","[]","[]","[]","preload","0","1046","0.0-0.0","2","1","2023-06-16 16:31:14","846205d480aaa49f22c83d5c8cececc8","73.17.14.96","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36","Macintosh","Chrome","114.0.0.0","OS X","10_15_7","","","",""
"true","","","","","fullscreen","1","3467","0.0-1.0","2","1","2023-06-16 16:31:14","846205d480aaa49f22c83d5c8cececc8","73.17.14.96","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36","Macintosh","Chrome","114.0.0.0","OS X","10_15_7","","","",""
"","","","","","html-keyboard-response","83","183439","0.0-3.0-0.40","2","1","2023-06-16 16:31:14","846205d480aaa49f22c83d5c8cececc8","73.17.14.96","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36","Macintosh","Chrome","114.0.0.0","OS X","10_15_7","null","<div style=""font-size:60px;"">+</div>","null",""
"","","","","","html-button-response","84","185142","0.0-3.0-1.40","2","1","2023-06-16 16:31:14","846205d480aaa49f22c83d5c8cececc8","73.17.14.96","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36","Macintosh","Chrome","114.0.0.0","OS X","10_15_7","1698","<p>As the military commander, you could choose to launch a missile to kill <strong>2 enemy soldiers</strong> , but would accidentally kill <strong>1 enemy civilian</strong> nearby.</p> <p>The photo of the <strong>enemy civilian</strong> is shown below.</p> <p></p> <img src='stimuli/faces/PCF3.jpg', style='max-width: 30%;'> </img> <p><strong>Would you launch the weapon?</strong></p>","1",""
"","","","","","html-keyboard-response","85","186154","0.0-3.0-0.41","2","1","2023-06-16 16:31:14","846205d480aaa49f22c83d5c8cececc8","73.17.14.96","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36","Macintosh","Chrome","114.0.0.0","OS X","10_15_7","null","<div style=""font-size:60px;"">+</div>","null",""
"","","","","","html-button-response","86","187639","0.0-3.0-1.41","2","1","2023-06-16 16:31:14","846205d480aaa49f22c83d5c8cececc8","73.17.14.96","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36","Macintosh","Chrome","114.0.0.0","OS X","10_15_7","1479","<p>As the military commander, you could choose to launch a missile to kill <strong>3 enemy soldiers</strong> , but would accidentally kill <strong>1 enemy tree</strong> nearby.</p> <p>The photo of the <strong>enemy tree</strong> is shown below.</p> <p></p> <img src='stimuli/tree/9.png', style='max-width: 30%;'> </img> <p><strong>Would you launch the weapon?</strong></p>","1",""
"","","","","","html-keyboard-response","87","188650","0.0-3.0-0.42","2","1","2023-06-16 16:31:14","846205d480aaa49f22c83d5c8cececc8","73.17.14.96","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36","Macintosh","Chrome","114.0.0.0","OS X","10_15_7","null","<div style=""font-size:60px;"">+</div>","null",""
"","","","","","html-button-response","88","190076","0.0-3.0-1.42","2","1","2023-06-16 16:31:14","846205d480aaa49f22c83d5c8cececc8","73.17.14.96","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36","Macintosh","Chrome","114.0.0.0","OS X","10_15_7","1420","<p>As the military commander, you could choose to launch a missile to kill <strong>1 enemy soldier</strong> , but would accidentally kill <strong>1 enemy civilian</strong> nearby.</p> <p>The photo of the <strong>enemy civilian</strong> is shown below.</p> <p></p> <img src='stimuli/faces/PCM7.jpg', style='max-width: 30%;'> </img> <p><strong>Would you launch the weapon?</strong></p>","1",""
"","","","","","html-keyboard-response","89","191082","0.0-3.0-0.43","2","1","2023-06-16 16:31:14","846205d480aaa49f22c83d5c8cececc8","73.17.14.96","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36","Macintosh","Chrome","114.0.0.0","OS X","10_15_7","null","<div style=""font-size:60px;"">+</div>","null",""
"","","","","","html-button-response","90","192859","0.0-3.0-1.43","2","1","2023-06-16 16:31:14","846205d480aaa49f22c83d5c8cececc8","73.17.14.96","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36","Macintosh","Chrome","114.0.0.0","OS X","10_15_7","1772","<p>As the military commander, you could choose to launch a missile to kill <strong>10 enemy soldiers</strong> , but would accidentally kill <strong>1 enemy tree</strong> nearby.</p> <p>The photo of the <strong>enemy tree</strong> is shown below.</p> <p></p> <img src='stimuli/tree/10.png', style='max-width: 30%;'> </img> <p><strong>Would you launch the weapon?</strong></p>","0",""
"","","","","","html-keyboard-response","91","193865","0.0-3.0-0.44","2","1","2023-06-16 16:31:14","846205d480aaa49f22c83d5c8cececc8","73.17.14.96","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36","Macintosh","Chrome","114.0.0.0","OS X","10_15_7","null","<div style=""font-size:60px;"">+</div>","null",""
"","","","","","html-button-response","92","195293","0.0-3.0-1.44","2","1","2023-06-16 16:31:14","846205d480aaa49f22c83d5c8cececc8","73.17.14.96","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36","Macintosh","Chrome","114.0.0.0","OS X","10_15_7","1425","<p>As the military commander, you could choose to launch a missile to kill <strong>1 enemy soldier</strong> , but would accidentally kill <strong>1 enemy civilian</strong> nearby.</p> <p>The photo of the <strong>enemy civilian</strong> is shown below.</p> <p></p> <img src='stimuli/faces/PCF2.jpg', style='max-width: 30%;'> </img> <p><strong>Would you launch the weapon?</strong></p>","1",""
